fire_data2,Serial,FireCategory,FireYear,Area,DistrictName,UnitName,FullFireNumber,FireName,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,CauseBy,GeneralCause,SpecificCause,Cause_Comments,Lat_DD,Long_DD,LatLongDD,FO_LandOwnType,Twn,Rng,Sec,Subdiv,LandmarkLocation,County,RegUseZone,RegUseRestriction,Industrial_Restriction,Ign_DateTime,ReportDateTime,Discover_DateTime,Control_DateTime,CreationDate,ModifiedDate,DistrictCode,UnitCode,DistFireNumber
40,109111,STAT,2017,NOA,Forest Grove,Forest Grove,17-531032-18,Raven's Ridge Fire,C,19.25,19.25,Human,Other-Public,Under Invest,,,45.7076,-123.37775,POINT (-123.37775 45.7076),State,3N,6W,36.0,NWNW,13.74 miles Southwest of Verno,Washington,NW3,Reg Use Closure,Lvl 2 Limited Shutdown,08/19/2017 03:35:00 PM,08/19/2017 03:40:00 PM,08/19/2017 03:37:00 PM,08/22/2017 05:00:00 PM,09/04/2017 12:00:00 AM,09/04/2017 02:01:00 PM,53,531,032
41,109245,STAT,2017,SOA,Southwest Oregon,Grants Pass,17-712536-18,Sykes Creek,B,0.5,0.5,Lightning,Lightning,Lightning,Lightning,,42.58052,-123.12442,POINT (-123.12442 42.58052),BLM,34S,4W,25.0,SESW,10.27 miles N of RR,Jackson,SW3,Reg Use Closure,Lvl 4 Complete Shutdown,09/07/2017 02:00:00 PM,09/07/2017 03:30:00 PM,09/07/2017 03:20:00 PM,09/13/2017 12:52:00 PM,09/08/2017 12:00:00 AM,09/26/2017 02:05:00 PM,71,712,536
42,106510,STAT,2017,SOA,Southwest Oregon,Grants Pass,17-712680-17,N Old Stage Road,A,0.01,0.01,Human,Transient,Miscellaneous,Warming Fire,,42.16487,-123.64093,POINT (-123.64093 42.16487),Rural Residential,39S,8W,22.0,SWNW,.39 Miles E of CJ,Josephine,SW3,Outside Closed Fire Season,Outside Closed Fire Season,05/30/2017 01:00:00 PM,05/30/2017 01:29:00 PM,05/30/2017 01:29:00 PM,06/02/2017 08:34:00 AM,05/30/2017 12:00:00 AM,06/05/2017 11:36:00 AM,71,712,680
43,109019,STAT,2017,SOA,Western Lane,Veneta,17-781047-18,Canary,A,0.01,0.01,Human,Recreationist,Miscellaneous,Warming Fire,,43.91917,-124.10917,POINT (-124.10917 43.91917),State,19S,12W,15.0,NESE,Lilly Lake,Lane,SL2,Reg Use Closure,Lvl 2 Limited Shutdown,09/01/2017 09:00:00 AM,09/01/2017 10:53:00 AM,09/01/2017 10:45:00 AM,09/01/2017 12:00:00 PM,09/01/2017 12:00:00 AM,09/01/2017 01:09:00 PM,78,781,047
44,108316,STAT,2017,EOA,Central Oregon,John Day,17-952032-18,Trent Creek,C,79.6,30.0,Lightning,Lightning,Lightning,Lightning,,44.67889,-120.0,POINT (-120 44.67889),Small Woodlands,10S,23E,30.0,NENE,Trent Creek,Wheeler,EC2,Reg Use Closure,Does Not Apply - Eastern OR,08/10/2017 06:45:00 PM,08/10/2017 07:13:00 PM,08/10/2017 07:10:00 PM,08/16/2017 03:00:00 PM,08/10/2017 12:00:00 AM,09/03/2017 10:47:00 AM,95,952,032
45,110203,STAT,2018,NOA,Astoria,Astoria,18-521071-18,Big O,A,0.01,0.01,Human,Ruralist-Paying,Debris Burning,Unattended,,46.10078,-123.7605,POINT (-123.7605 46.10078),Rural Residential,7N,9W,11.0,SESE,Big O Saloon,Clatsop,NW1,Outside Closed Fire Season,Outside Closed Fire Season,06/03/2018 10:00:00 AM,06/04/2018 07:00:00 AM,06/04/2018 06:55:00 AM,06/04/2018 07:45:00 AM,06/04/2018 12:00:00 AM,06/04/2018 09:50:00 AM,52,521,071
46,113641,STAT,2018,NOA,North Cascade,Santiam,18-582069-19,Oak Knoll Rd,B,0.75,0.75,Human,Ruralist-Paying,Debris Burning,Other - Burning Related,,45.03439,-122.72806,POINT (-122.72806 45.03439),Rural Residential,6S,1E,19.0,SENE,2mi NE Silverton,Marion,CM1,Reg Use Closure,Lvl 1 Fire Season Only,10/23/2018 02:45:00 PM,10/23/2018 02:45:00 PM,10/23/2018 02:45:00 PM,10/23/2018 03:00:00 PM,10/23/2018 12:00:00 AM,11/06/2018 09:59:00 AM,58,582,069
47,110423,STAT,2018,SOA,Southwest Oregon,Medford,18-711502-18,Grizzly,A,0.1,0.1,Lightning,Lightning,Lightning,Lightning,,42.30025,-122.5749,POINT (-122.5749 42.30025),BLM,38S,2E,3.0,NENW,Lost Lake Dam,Jackson,SW1,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,06/20/2018 03:19:00 PM,06/20/2018 07:55:00 PM,06/20/2018 07:50:00 PM,06/21/2018 02:50:00 AM,06/21/2018 12:00:00 AM,06/21/2018 03:29:00 PM,71,711,502
48,113120,STAT,2018,EOA,Central Oregon,Sisters,18-955070-19,Ponderosa Way 1207,A,,0.1,Human,,Miscellaneous,,,43.68306,-121.58278,POINT (-121.58278 43.68306),ERROR: #N/A,22S,10E,7.0,SWNW,4 Miles West of La Pine,Deschutes,,,,,09/24/2018 03:46:00 PM,,,09/24/2018 12:00:00 AM,09/24/2018 04:30:00 PM,95,955,070
49,110255,STAT,2018,EOA,Northeast Oregon,Wallowa,18-974052-18,Johnson Canyon,A,0.1,0.1,Lightning,Lightning,Lightning,Lightning,,45.67611,-117.14667,POINT (-117.14667 45.67611),State,2N,45E,23.0,SENE,Johnson Canyon,Wallowa,NE2,Outside Closed Fire Season,Outside Closed Fire Season,06/07/2018 08:17:00 PM,06/08/2018 06:25:00 AM,06/08/2018 06:17:00 AM,06/08/2018 04:00:00 PM,06/08/2018 12:00:00 AM,07/31/2018 04:44:00 PM,97,974,052
50,115435,STAT,2019,SOA,Southwest Oregon,Grants Pass,19-712271-20,Kerby Mainline #2,A,0.13,0.13,Human,Other-Public,Arson,Other - Arson Related,Juvenile admitted to setting this fire,42.20582,-123.623,POINT (-123.623 42.20582),BLM,39S,8W,3.0,NESE,3.23 miles NE of CJ,Josephine,SW3,Reg Use Closure,Lvl 2 Limited Shutdown,08/03/2019 04:30:00 PM,08/03/2019 04:35:00 PM,08/03/2019 04:35:00 PM,08/07/2019 12:40:00 PM,08/03/2019 12:00:00 AM,08/08/2019 02:17:00 PM,71,712,271
51,114354,STAT,2019,SOA,Southwest Oregon,Grants Pass,19-71200051-19,Forks Park,A,0.01,0.01,Human,Transient,Recreation,Campfire Not Extinguished,Transient Campfire,42.1568,-123.64958,POINT (-123.64958 42.1568),State,39S,8W,21.0,SWSE,0.43 miles S of CJ,Josephine,SW3,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,06/19/2019 10:48:00 AM,06/19/2019 10:48:00 AM,06/19/2019 10:48:00 AM,06/22/2019 11:00:00 AM,06/19/2019 12:00:00 AM,06/23/2019 01:11:00 PM,71,712,B51
52,114074,STAT,2019,SOA,South Cascade,Eastern Lane,19-771173-19,East King STAT,A,0.02,0.01,Human,Motorist,Miscellaneous,Other - Miscellaneous Related,,44.16958,-122.20814,POINT (-122.20814 44.16958),County,16S,5E,21.0,NWNE,Horse Creek,Lane,EL1,Outside Closed Fire Season,Outside Closed Fire Season,05/29/2019 02:00:00 PM,05/29/2019 02:15:00 PM,05/29/2019 02:14:00 PM,05/29/2019 02:17:00 PM,05/30/2019 12:00:00 AM,05/30/2019 09:38:00 AM,77,771,173
